,Reference,Tagged Entity,Class,Start position,End position,ToposText ID
0,urn:cts:latinLit:phi0978.phi001:4.1.1,Acroceraunia,['place'],75,87,https://topostext.org/place/404194LKer
1,urn:cts:latinLit:phi0978.phi001:4.1.1,Hellespont,['place'],105,115,https://topostext.org/place/402264WHel
2,urn:cts:latinLit:phi0978.phi001:4.1.1,Epirus,['place'],217,223,https://topostext.org/place/395205REpe
3,urn:cts:latinLit:phi0978.phi001:4.1.1,Acarnania,['place'],225,234,https://topostext.org/place/388210RAka
4,urn:cts:latinLit:phi0978.phi001:4.1.1,Aitolia,['place'],236,243,https://topostext.org/place/386215RAit
5,urn:cts:latinLit:phi0978.phi001:4.1.1,Phocis,['place'],245,251,https://topostext.org/place/386227RPho
6,urn:cts:latinLit:phi0978.phi001:4.1.1,Locris,['place'],253,259,https://topostext.org/place/384222ROzo
7,urn:cts:latinLit:phi0978.phi001:4.1.1,Achaia,['place'],261,267,https://topostext.org/place/382219RAch
8,urn:cts:latinLit:phi0978.phi001:4.1.1,Messenia,['place'],269,277,https://topostext.org/place/372218RMes
9,urn:cts:latinLit:phi0978.phi001:4.1.1,Laconia,['place'],279,286,https://topostext.org/place/370225RLak
10,urn:cts:latinLit:phi0978.phi001:4.1.1,Argolis,['place'],288,295,https://topostext.org/place/374229RArg
11,urn:cts:latinLit:phi0978.phi001:4.1.1,Megaris,['place'],297,304,https://topostext.org/place/380233PMeg
12,urn:cts:latinLit:phi0978.phi001:4.1.1,Attica,['place'],306,312,https://topostext.org/place/379239RAtt
13,urn:cts:latinLit:phi0978.phi001:4.1.1,Boeotia,['place'],314,321,https://topostext.org/place/384233RBoi
14,urn:cts:latinLit:phi0978.phi001:4.1.1,Phocis,['place'],363,369,https://topostext.org/place/386227RPho
15,urn:cts:latinLit:phi0978.phi001:4.1.1,Locris,['place'],374,380,https://topostext.org/place/386231ROpu
16,urn:cts:latinLit:phi0978.phi001:4.1.1,Doris,['place'],382,387,https://topostext.org/place/387224RDor
17,urn:cts:latinLit:phi0978.phi001:4.1.1,Phthiotis,['place'],389,398,https://topostext.org/place/393223RPht
18,urn:cts:latinLit:phi0978.phi001:4.1.1,Thessalia,['place'],400,409,https://topostext.org/place/394223RThs
19,urn:cts:latinLit:phi0978.phi001:4.1.1,Magnesia,['place'],411,419,https://topostext.org/place/397227RMag
20,urn:cts:latinLit:phi0978.phi001:4.1.1,Macedonia,['place'],421,430,https://topostext.org/place/408225RMak
21,urn:cts:latinLit:phi0978.phi001:4.1.2,Epirus,['place'],9,15,https://topostext.org/place/395205REpe
22,urn:cts:latinLit:phi0978.phi001:4.1.2,Acroceraunia,['place'],65,77,https://topostext.org/place/404194LKer
23,urn:cts:latinLit:phi0978.phi001:4.1.2,Chaones,['ethnic'],117,124,https://topostext.org/place/403197RCha
24,urn:cts:latinLit:phi0978.phi001:4.1.2,Chaonia,['place'],136,143,https://topostext.org/place/403197RCha
25,urn:cts:latinLit:phi0978.phi001:4.1.2,Thesproti,['ethnic'],172,181,https://topostext.org/place/394204RThp
26,urn:cts:latinLit:phi0978.phi001:4.1.2,Perrhaebi,['ethnic'],329,338,https://topostext.org/place/398232RPer
27,urn:cts:latinLit:phi0978.phi001:4.1.2,Pindus,['place'],363,369,https://topostext.org/place/400208LPin
28,urn:cts:latinLit:phi0978.phi001:4.1.2,Dryopes,['ethnic'],402,409,https://topostext.org/place/383243RDry
29,urn:cts:latinLit:phi0978.phi001:4.1.2,Molossi,['ethnic'],441,448,https://topostext.org/place/398206RMol
30,urn:cts:latinLit:phi0978.phi001:4.1.2,Dodonaean,['person'],490,499,https://topostext.org/place/395208SDod
31,urn:cts:latinLit:phi0978.phi001:4.1.2,Jupiter,,500,507,https://topostext.org/people/1
32,urn:cts:latinLit:phi0978.phi001:4.1.2,Tomarus,['place'],545,552,https://topostext.org/place/395208LTom
33,urn:cts:latinLit:phi0978.phi001:4.1.2,Theopompus,,575,585,https://topostext.org/people/121
34,urn:cts:latinLit:phi0978.phi001:4.1.3,Epirus,['place'],9,15,https://topostext.org/place/395205REpe
35,urn:cts:latinLit:phi0978.phi001:4.1.3,Magnesia,['place'],54,62,https://topostext.org/place/397227RMag
36,urn:cts:latinLit:phi0978.phi001:4.1.3,Macedonia,['place'],67,76,https://topostext.org/place/408225RMak
37,urn:cts:latinLit:phi0978.phi001:4.1.3,Dassaretae,['place'],101,111,https://topostext.org/place/407208RDas
38,urn:cts:latinLit:phi0978.phi001:4.1.3,Dardani,['ethnic'],169,176,https://topostext.org/place/420313RDar
39,urn:cts:latinLit:phi0978.phi001:4.1.3,Dardani,['ethnic'],222,229,https://topostext.org/place/420313RDar
40,urn:cts:latinLit:phi0978.phi001:4.1.3,Triballi,['ethnic'],247,255,https://topostext.org/place/425220RTri
41,urn:cts:latinLit:phi0978.phi001:4.1.3,Moesia,['place'],275,281,https://topostext.org/place/440205RMys
42,urn:cts:latinLit:phi0978.phi001:4.1.3,Thracians,['ethnic'],361,370,https://topostext.org/place/410265RThr
43,urn:cts:latinLit:phi0978.phi001:4.1.3,Euxine,['place'],403,409,https://topostext.org/place/435335WPon
44,urn:cts:latinLit:phi0978.phi001:4.1.3,Rhodope,['place'],476,483,https://topostext.org/place/412253LRho
45,urn:cts:latinLit:phi0978.phi001:4.1.3,Haemus,['place'],497,503,https://topostext.org/place/428247LHae
46,urn:cts:latinLit:phi0978.phi001:4.1.4,Epirus,['place'],25,31,https://topostext.org/place/395205REpe
47,urn:cts:latinLit:phi0978.phi001:4.1.4,Chimaer,['place'],51,58,https://topostext.org/place/401197UChi
48,urn:cts:latinLit:phi0978.phi001:4.1.4,Acroceraunian,['demonym'],77,90,https://topostext.org/place/404194LKer
49,urn:cts:latinLit:phi0978.phi001:4.1.4,Maeandria,['place'],167,176,https://topostext.org/place/398201UMai
50,urn:cts:latinLit:phi0978.phi001:4.1.4,Cestria,['place'],182,189,https://topostext.org/place/397201UKes
51,urn:cts:latinLit:phi0978.phi001:4.1.4,Thyamis,['place'],195,202,https://topostext.org/place/398203WThy
52,urn:cts:latinLit:phi0978.phi001:4.1.4,Thesprotia,['place'],215,225,https://topostext.org/place/394204RThp
53,urn:cts:latinLit:phi0978.phi001:4.1.4,Buthrotum,['place'],241,250,https://topostext.org/place/397200PBou
54,urn:cts:latinLit:phi0978.phi001:4.1.4,Ambracian Gulf,['place'],260,274,https://topostext.org/place/390210WAmb
55,urn:cts:latinLit:phi0978.phi001:4.1.4,Acheron,['place'],457,464,https://topostext.org/place/392205WAch
56,urn:cts:latinLit:phi0978.phi001:4.1.4,Acherusia,['place'],485,494,https://topostext.org/place/393208WAch
57,urn:cts:latinLit:phi0978.phi001:4.1.4,Thesprotia,['place'],506,516,https://topostext.org/place/394204RThp
58,urn:cts:latinLit:phi0978.phi001:4.1.4,Ambracia,['place'],753,761,https://topostext.org/place/392210PAmb
59,urn:cts:latinLit:phi0978.phi001:4.1.4,Aphas,['place'],782,787,https://topostext.org/place/393208WAph
60,urn:cts:latinLit:phi0978.phi001:4.1.4,Arachthus,['place'],796,805,https://topostext.org/place/397210WAra
61,urn:cts:latinLit:phi0978.phi001:4.1.4,Molossi,['ethnic'],821,828,https://topostext.org/place/398206RMol
62,urn:cts:latinLit:phi0978.phi001:4.1.4,Anactoria,['place'],842,851,https://topostext.org/place/389208PAna
63,urn:cts:latinLit:phi0978.phi001:4.1.4,Pandosia,['place'],873,881,https://topostext.org/place/393207PPan
64,urn:cts:latinLit:phi0978.phi001:4.2.1,Acarnania,['place'],33,42,https://topostext.org/place/388210RAka
65,urn:cts:latinLit:phi0978.phi001:4.2.1,Curetis,,74,81,https://topostext.org/people/4950
66,urn:cts:latinLit:phi0978.phi001:4.2.1,Heraclia,['place'],87,95,https://topostext.org/place/389209PHer
67,urn:cts:latinLit:phi0978.phi001:4.2.1,Echinus,['place'],97,104,https://topostext.org/place/388208PEch
68,urn:cts:latinLit:phi0978.phi001:4.2.1,Actium,['place'],125,131,https://topostext.org/place/390208SAkt
69,urn:cts:latinLit:phi0978.phi001:4.2.1,Augustus,,153,161,https://topostext.org/people/8
70,urn:cts:latinLit:phi0978.phi001:4.2.1,Apollo,,189,195,https://topostext.org/people/2
