,Reference,Index,Token,Start_pos,BIO_Flair,Precision_Flair,BIO_Flair-large,Precision_Flair-large,BIO_Flair_Splitter,Precision_Flair_Splitter,BIO_spaCy-md,BIO_spaCy-trf
0,urn:cts:latinLit:phi0978.phi001:4.1.1,0,§,0,O,-,O,-,O,-,O,O
1,urn:cts:latinLit:phi0978.phi001:4.1.1,1,4.1.1,2,O,-,O,-,O,-,B-CARDINAL,B-CARDINAL
2,urn:cts:latinLit:phi0978.phi001:4.1.1,2,EPIRUS,9,O,-,B-LOC,0.9999366998672485,B-LOC,0.9999462366104126,B-ORG,O
3,urn:cts:latinLit:phi0978.phi001:4.1.1,3,:,15,O,-,O,-,O,-,O,O
4,urn:cts:latinLit:phi0978.phi001:4.1.1,4,The,17,O,-,O,-,O,-,O,O
5,urn:cts:latinLit:phi0978.phi001:4.1.1,5,third,21,O,-,O,-,O,-,B-ORDINAL,B-ORDINAL
6,urn:cts:latinLit:phi0978.phi001:4.1.1,6,great,27,O,-,O,-,O,-,O,O
7,urn:cts:latinLit:phi0978.phi001:4.1.1,7,Gulf,33,B-MISC,0.6030405958493551,O,-,O,-,B-LOC,B-LOC
8,urn:cts:latinLit:phi0978.phi001:4.1.1,8,of,38,I-MISC,0.6030405958493551,O,-,O,-,I-LOC,O
9,urn:cts:latinLit:phi0978.phi001:4.1.1,9,Europe,41,I-MISC,0.6030405958493551,B-LOC,0.9999897480010986,B-LOC,0.9999909400939941,I-LOC,B-LOC
10,urn:cts:latinLit:phi0978.phi001:4.1.1,10,begins,48,O,-,O,-,O,-,O,O
11,urn:cts:latinLit:phi0978.phi001:4.1.1,11,at,55,O,-,O,-,O,-,O,O
12,urn:cts:latinLit:phi0978.phi001:4.1.1,12,the,58,O,-,O,-,O,-,O,O
13,urn:cts:latinLit:phi0978.phi001:4.1.1,13,mountains,62,O,-,O,-,O,-,O,O
14,urn:cts:latinLit:phi0978.phi001:4.1.1,14,of,72,O,-,O,-,O,-,O,O
15,urn:cts:latinLit:phi0978.phi001:4.1.1,15,Acroceraunia,75,B-LOC,0.9949479103088379,B-LOC,0.9999752044677734,B-LOC,0.9999786615371704,B-GPE,B-LOC
16,urn:cts:latinLit:phi0978.phi001:4.1.1,16,",",87,O,-,O,-,O,-,O,O
17,urn:cts:latinLit:phi0978.phi001:4.1.1,17,and,89,O,-,O,-,O,-,O,O
18,urn:cts:latinLit:phi0978.phi001:4.1.1,18,ends,93,O,-,O,-,O,-,O,O
19,urn:cts:latinLit:phi0978.phi001:4.1.1,19,at,98,O,-,O,-,O,-,O,O
20,urn:cts:latinLit:phi0978.phi001:4.1.1,20,the,101,O,-,O,-,O,-,O,O
21,urn:cts:latinLit:phi0978.phi001:4.1.1,21,Hellespont,105,B-LOC,0.9734165668487549,B-LOC,0.9999699592590332,B-LOC,0.9999749660491943,B-GPE,B-LOC
22,urn:cts:latinLit:phi0978.phi001:4.1.1,22,",",115,O,-,O,-,O,-,O,O
23,urn:cts:latinLit:phi0978.phi001:4.1.1,23,embracing,117,O,-,O,-,O,-,O,O
24,urn:cts:latinLit:phi0978.phi001:4.1.1,24,an,127,O,-,O,-,O,-,O,O
25,urn:cts:latinLit:phi0978.phi001:4.1.1,25,extent,130,O,-,O,-,O,-,O,O
26,urn:cts:latinLit:phi0978.phi001:4.1.1,26,of,137,O,-,O,-,O,-,O,O
27,urn:cts:latinLit:phi0978.phi001:4.1.1,27,2500,140,O,-,O,-,O,-,B-QUANTITY,B-QUANTITY
28,urn:cts:latinLit:phi0978.phi001:4.1.1,28,miles,145,O,-,O,-,O,-,I-QUANTITY,I-QUANTITY
29,urn:cts:latinLit:phi0978.phi001:4.1.1,29,",",150,O,-,O,-,O,-,O,O
30,urn:cts:latinLit:phi0978.phi001:4.1.1,30,exclusive,152,O,-,O,-,O,-,O,O
31,urn:cts:latinLit:phi0978.phi001:4.1.1,31,of,162,O,-,O,-,O,-,O,O
32,urn:cts:latinLit:phi0978.phi001:4.1.1,32,the,165,O,-,O,-,O,-,O,O
33,urn:cts:latinLit:phi0978.phi001:4.1.1,33,sea-line,169,O,-,O,-,O,-,O,O
34,urn:cts:latinLit:phi0978.phi001:4.1.1,34,of,178,O,-,O,-,O,-,O,O
35,urn:cts:latinLit:phi0978.phi001:4.1.1,35,nineteen,181,O,-,O,-,O,-,B-CARDINAL,B-CARDINAL
36,urn:cts:latinLit:phi0978.phi001:4.1.1,36,smaller,190,O,-,O,-,O,-,O,O
37,urn:cts:latinLit:phi0978.phi001:4.1.1,37,gulfs,198,O,-,O,-,O,-,O,O
38,urn:cts:latinLit:phi0978.phi001:4.1.1,38,.,203,O,-,O,-,O,-,O,O
39,urn:cts:latinLit:phi0978.phi001:4.1.1,39,Upon,205,O,-,O,-,O,-,O,O
40,urn:cts:latinLit:phi0978.phi001:4.1.1,40,it,210,O,-,O,-,O,-,O,O
41,urn:cts:latinLit:phi0978.phi001:4.1.1,41,are,213,O,-,O,-,O,-,O,O
42,urn:cts:latinLit:phi0978.phi001:4.1.1,42,Epirus,217,B-LOC,0.9267621636390686,B-LOC,0.999929666519165,B-LOC,0.999929666519165,B-GPE,B-GPE
43,urn:cts:latinLit:phi0978.phi001:4.1.1,43,",",223,O,-,O,-,O,-,O,O
