Index;Reference;Index_paragraph;Token;Start_pos;ToposText_update
0;urn:cts:latinLit:phi0978.phi001:4.1.1;0;§;0;O
1;urn:cts:latinLit:phi0978.phi001:4.1.1;1;4.1.1;2;O
2;urn:cts:latinLit:phi0978.phi001:4.1.1;2;EPIRUS;9;B-LOC
3;urn:cts:latinLit:phi0978.phi001:4.1.1;3;:;15;O
4;urn:cts:latinLit:phi0978.phi001:4.1.1;4;The;17;O
5;urn:cts:latinLit:phi0978.phi001:4.1.1;5;third;21;O
6;urn:cts:latinLit:phi0978.phi001:4.1.1;6;great;27;O
7;urn:cts:latinLit:phi0978.phi001:4.1.1;7;Gulf;33;O
8;urn:cts:latinLit:phi0978.phi001:4.1.1;8;of;38;O
9;urn:cts:latinLit:phi0978.phi001:4.1.1;9;Europe;41;B-LOC
10;urn:cts:latinLit:phi0978.phi001:4.1.1;10;begins;48;O
11;urn:cts:latinLit:phi0978.phi001:4.1.1;11;at;55;O
12;urn:cts:latinLit:phi0978.phi001:4.1.1;12;the;58;O
13;urn:cts:latinLit:phi0978.phi001:4.1.1;13;mountains;62;O
14;urn:cts:latinLit:phi0978.phi001:4.1.1;14;of;72;O
15;urn:cts:latinLit:phi0978.phi001:4.1.1;15;Acroceraunia;75;B-['place']
16;urn:cts:latinLit:phi0978.phi001:4.1.1;16;,;87;O
17;urn:cts:latinLit:phi0978.phi001:4.1.1;17;and;89;O
18;urn:cts:latinLit:phi0978.phi001:4.1.1;18;ends;93;O
19;urn:cts:latinLit:phi0978.phi001:4.1.1;19;at;98;O
20;urn:cts:latinLit:phi0978.phi001:4.1.1;20;the;101;O
21;urn:cts:latinLit:phi0978.phi001:4.1.1;21;Hellespont;105;B-['place']
22;urn:cts:latinLit:phi0978.phi001:4.1.1;22;,;115;O
23;urn:cts:latinLit:phi0978.phi001:4.1.1;23;embracing;117;O
24;urn:cts:latinLit:phi0978.phi001:4.1.1;24;an;127;O
25;urn:cts:latinLit:phi0978.phi001:4.1.1;25;extent;130;O
26;urn:cts:latinLit:phi0978.phi001:4.1.1;26;of;137;O
27;urn:cts:latinLit:phi0978.phi001:4.1.1;27;2500;140;O
28;urn:cts:latinLit:phi0978.phi001:4.1.1;28;miles;145;O
29;urn:cts:latinLit:phi0978.phi001:4.1.1;29;,;150;O
30;urn:cts:latinLit:phi0978.phi001:4.1.1;30;exclusive;152;O
31;urn:cts:latinLit:phi0978.phi001:4.1.1;31;of;162;O
32;urn:cts:latinLit:phi0978.phi001:4.1.1;32;the;165;O
33;urn:cts:latinLit:phi0978.phi001:4.1.1;33;sea-line;169;O
34;urn:cts:latinLit:phi0978.phi001:4.1.1;34;of;178;O
35;urn:cts:latinLit:phi0978.phi001:4.1.1;35;nineteen;181;O
36;urn:cts:latinLit:phi0978.phi001:4.1.1;36;smaller;190;O
37;urn:cts:latinLit:phi0978.phi001:4.1.1;37;gulfs;198;O
38;urn:cts:latinLit:phi0978.phi001:4.1.1;38;.;203;O
39;urn:cts:latinLit:phi0978.phi001:4.1.1;39;Upon;205;O
40;urn:cts:latinLit:phi0978.phi001:4.1.1;40;it;210;O
41;urn:cts:latinLit:phi0978.phi001:4.1.1;41;are;213;O
42;urn:cts:latinLit:phi0978.phi001:4.1.1;42;Epirus;217;B-['place']
43;urn:cts:latinLit:phi0978.phi001:4.1.1;43;,;223;O
44;urn:cts:latinLit:phi0978.phi001:4.1.1;44;Acarnania;225;B-['place']
45;urn:cts:latinLit:phi0978.phi001:4.1.1;45;,;234;O
46;urn:cts:latinLit:phi0978.phi001:4.1.1;46;Aitolia;236;B-['place']
47;urn:cts:latinLit:phi0978.phi001:4.1.1;47;,;243;O
48;urn:cts:latinLit:phi0978.phi001:4.1.1;48;Phocis;245;B-['place']
49;urn:cts:latinLit:phi0978.phi001:4.1.1;49;,;251;O
50;urn:cts:latinLit:phi0978.phi001:4.1.1;50;Locris;253;B-['place']
51;urn:cts:latinLit:phi0978.phi001:4.1.1;51;,;259;O
52;urn:cts:latinLit:phi0978.phi001:4.1.1;52;Achaia;261;B-['place']
53;urn:cts:latinLit:phi0978.phi001:4.1.1;53;,;267;O
54;urn:cts:latinLit:phi0978.phi001:4.1.1;54;Messenia;269;B-['place']
55;urn:cts:latinLit:phi0978.phi001:4.1.1;55;,;277;O
56;urn:cts:latinLit:phi0978.phi001:4.1.1;56;Laconia;279;B-['place']
57;urn:cts:latinLit:phi0978.phi001:4.1.1;57;,;286;O
58;urn:cts:latinLit:phi0978.phi001:4.1.1;58;Argolis;288;B-['place']
59;urn:cts:latinLit:phi0978.phi001:4.1.1;59;,;295;O
60;urn:cts:latinLit:phi0978.phi001:4.1.1;60;Megaris;297;B-['place']
61;urn:cts:latinLit:phi0978.phi001:4.1.1;61;,;304;O
