Index,Reference,Index_paragraph,Token,Start_pos,ToposText,flair_nerlarge,ToposText_update,Sentence,Token_ID
0,urn:cts:latinLit:phi0978.phi001:4.1.1,0,§,0,O,O,O,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.0
1,urn:cts:latinLit:phi0978.phi001:4.1.1,1,4.1.1,2,O,O,O,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.2
2,urn:cts:latinLit:phi0978.phi001:4.1.1,2,EPIRUS,9,O,B-LOC,B-LOC,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.9
3,urn:cts:latinLit:phi0978.phi001:4.1.1,3,:,15,O,O,O,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.15
4,urn:cts:latinLit:phi0978.phi001:4.1.1,4,The,17,O,O,O,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.17
5,urn:cts:latinLit:phi0978.phi001:4.1.1,5,third,21,O,O,O,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.21
6,urn:cts:latinLit:phi0978.phi001:4.1.1,6,great,27,O,O,O,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.27
7,urn:cts:latinLit:phi0978.phi001:4.1.1,7,Gulf,33,O,O,O,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.33
8,urn:cts:latinLit:phi0978.phi001:4.1.1,8,of,38,O,O,O,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.38
9,urn:cts:latinLit:phi0978.phi001:4.1.1,9,Europe,41,O,B-LOC,B-LOC,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.41
10,urn:cts:latinLit:phi0978.phi001:4.1.1,10,begins,48,O,O,O,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.48
11,urn:cts:latinLit:phi0978.phi001:4.1.1,11,at,55,O,O,O,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.55
12,urn:cts:latinLit:phi0978.phi001:4.1.1,12,the,58,O,O,O,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.58
13,urn:cts:latinLit:phi0978.phi001:4.1.1,13,mountains,62,O,O,O,0,urn:cts:latinLit:phi0978.phi001:4.1.1.0.62
