reference,tagged_entity,start_pos,topostext_id
1.8.1,Academy,316,380237SAca
2.5.1,Palatine,1073,419125LPal
2.5.1,Esquiline,1185,419125LEsq
2.5.1,Capitol,3657,419125SCap
2.6.3,Rome,552,419125PRom
2.8.1,Ida,1124,352248LIda
2.9.1,Rome,667,419125PRom
2.22.1,Salamis,1164,380236ASSB
2.23.1,Ethiopia,524,130350REth
2.23.1,Egypt,537,271307REgy
2.23.2,Rome,88,419125PRom
2.25.1,Modena,372,446109UMut
2.31.1,Bosphorus,269,411291WBos
2.40.1,Egypt,263,271307REgy
2.44.2,Dalmatia,419,435167RDal
2.44.2,Cyrenaica,610,328219PCyr
2.46.1,Narbonne,2125,432030UNar
2.46.1,Ostia,2300,418123UOst
2.46.1,Vienne,2406,455049UVie
2.46.1,Egypt,2607,271307REgy
2.48.1,Italy,222,406163RIta
2.48.1,Black Sea,267,435335WPon
2.48.1,Black Sea,998,435335WPon
2.51.1,Egypt,410,271307REgy
2.51.1,Italy,700,406163RIta
2.51.1,Italy,842,406163RIta
2.51.1,Rome,923,419125PRom
2.52.1,Rome,519,419125PRom
2.52.1,Pompei,719,407145PPom
2.53.1,Etruria,373,430105RTyr
2.53.1,Bolsena,1252,427121UVol
2.53.1,Etruria,1281,430105RTyr
2.54.1,Etruria,162,430105RTyr
2.54.1,Bolsena,231,427121UVol
2.55.3,Temple,81,419125SJuM
2.55.3,Rome,99,419125PRom
2.56.1,Italy,482,406163RIta
2.56.1,Terracina,559,413133UTar
2.56.1,Temple,577,419125SFer
2.57.1,Lucania,438,404160RLeu
2.57.1,Compsa,792,409153UCom
2.58.1,Ameria,260,426124UAme
2.58.1,Tuder,271,428124UTud
2.59.1,Aegospotami,294,403266UAig
2.59.1,Thrace,319,410265RThr
2.59.1,Abydos,939,402264PAby
2.59.1,Potidaea,1180,402233UPot
2.62.1,Italy,115,406163RIta
2.62.1,Locri,152,382162PLoc
2.62.1,Rhodes,184,364282IRho
2.62.1,Syracuse,195,371153PSyr
2.65.1,Pelion,1580,394230LPel
2.65.1,Alps,1779,441073LAlp
2.67.1,Cadiz,46,365-063PGad
2.67.1,Scythia,378,475310RSky
2.67.1,Caspian Sea,678,400516WHyr
2.67.1,Maeotic,1147,460370WMai
2.67.1,Cadiz,1324,365-063PGad
2.67.1,Mauretania,1431,350000RMau
2.67.1,Carthage,1716,369103PCar
2.67.1,Cadiz,1761,365-063PGad
2.67.1,Arabia,1787,280400RAra
2.67.1,Cadiz,2111,365-063PGad
2.67.1,Ethiopia,2235,130350REth
2.71.1,Cave-dweller Country,466,195372RTro
2.71.1,Egypt,527,271307REgy
2.71.1,Italy,599,406163RIta
2.71.1,Alexandria,882,312299PAle
2.71.1,Rhodes,983,364282IRho
2.71.1,Black Sea,1049,435335WPon
2.71.1,Rhodes,1158,364282IRho
2.71.1,Alexandria,1186,312299PAle
2.71.1,Arabia,1201,280400RAra
2.71.1,Meroe,1306,169337UMer
2.72.1,Arbela,289,362440UArb
2.72.1,Sicily,332,376145RSic
2.72.1,Campania,505,411146RCam
2.72.1,Armenia,577,397443RArm
2.73.1,Sicyon,600,380227PSik
2.73.1,Elis,610,378214PEli
2.74.1,Egypt,191,271307REgy
2.74.1,Rome,356,419125PRom
2.74.1,Ancona,421,436135PAnc
2.74.1,Italy,466,406163RIta
2.75.1,Syene,45,241329USye
2.75.1,India,368,300740RInd
2.75.1,Berenice,455,239355UBer
2.75.1,Ptolemais,501,191373UPto
2.75.1,Red Sea,568,195390WEry
2.75.1,Meroe,752,169337UMer
2.75.1,Nile,801,312301WNil
2.75.1,Syene,823,241329USye
2.75.1,India,1193,300740RInd
2.75.1,India,1517,300740RInd
2.76.1,Cave-dweller Country,46,195372RTro
2.77.1,Meroe,120,169337UMer
2.77.1,Alexandria,143,312299PAle
2.77.1,Italy,161,406163RIta
2.77.1,Britain,178,530-15IBri
2.77.1,Thule,611,000000UThu
2.77.1,Britain,641,530-15IBri
2.78.1,Sparta,168,371224PSpa
2.81.1,Taygetus,724,370223LTay
2.82.1,Alps,1498,441073LAlp
2.82.1,Apennines,1507,425136LApe
2.82.2,Egypt,107,271307REgy
2.84.1,Italy,409,406163RIta
2.84.1,Naples,418,408142PNea
2.85.1,Etruria,35,430105RTyr
2.85.1,Modena,114,446109UMut
2.85.1,Italy,663,406163RIta
2.86.1,Rome,399,419125PRom
2.86.1,Trasimene,556,432121WTra
2.86.1,Rome,779,419125PRom
2.87.1,Echinades,243,383213IEch
2.87.1,Achelous,291,383211WAch
2.87.1,Egypt,324,271307REgy
2.87.1,Nile,339,312301WNil
2.87.1,Pharos,378,312299IPha
2.87.1,Circei,515,412131LKir
2.87.1,Ambracia,623,392210PAmb
2.87.1,Piraeus,684,379236HPei
2.87.1,Ephesus,700,379273PEph
2.87.1,temple,751,379274SEph
2.87.1,Memphis,827,298313PMem
2.87.1,Ethiopia,862,130350REth
